RH_avg,RR,ss,ff_x,flood,TempRangeCategory,month
81.0,1.4,5.8,5.0,0,1,1
88.0,1.6,8.7,4.0,1,1,1
80.0,33.8,5.4,4.0,1,2,1
81.0,1.4,6.6,3.0,0,1,1
91.0,1.4,3.2,3.0,0,1,1
80.0,3.8,3.6,4.0,0,1,1
78.0,1.4,7.6,4.0,0,2,1
79.0,1.4,7.9,4.0,0,1,1
79.0,1.4,10.2,4.0,0,1,1
80.0,1.4,8.2,3.0,0,1,1
83.0,1.4,4.9,3.0,0,1,1
93.0,11.5,5.7,3.0,1,1,1
92.0,36.3,0.9,3.0,0,1,1
84.0,4.4,3.7,3.0,0,1,1
84.0,1.4,4.8,3.0,0,1,1
82.0,0.6,3.9,2.0,0,1,1
86.0,1.4,3.1,4.0,0,1,1
81.0,4.5,6.8,4.0,0,1,1
89.0,3.4,3.1,4.0,0,1,1
87.0,0.9,4.6,4.0,1,1,1
86.0,0.3,1.6,2.0,0,1,1
84.0,0.1,0.8,4.0,0,1,1
88.0,13.9,0.7,4.0,0,1,1
91.0,7.5,0.2,3.0,0,1,1
96.0,56.0,1.0,2.0,0,1,1
85.0,2.0,0.0,3.0,0,2,1
83.0,1.4,4.0,4.0,0,1,1
83.0,1.4,7.4,4.0,0,1,1
80.0,1.4,3.1,4.0,0,1,1
86.0,2.0,8.4,4.0,1,1,1
82.0,0.4,1.7,3.0,1,1,1
89.0,1.4,4.1,5.0,0,1,2
89.0,26.5,2.3,5.0,1,1,2
82.0,4.0,2.0,3.0,1,1,2
90.0,1.4,2.1,2.0,0,1,2
84.0,7.7,0.6,5.0,0,1,2
85.0,1.4,1.5,5.0,0,1,2
86.0,0.5,7.8,4.0,0,1,2
92.0,27.5,4.2,4.0,0,1,2
88.0,23.7,3.8,4.0,0,1,2
90.0,10.0,4.6,4.0,1,0,2
89.0,1.4,0.2,3.0,1,0,2
88.0,9.7,0.7,4.0,1,1,2
84.0,23.0,1.6,3.0,1,1,2
